Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_61;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/volume_types.py;None;get_volume_type_qos_specs;return res;268
Test_62;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/rpcapi.py;VolumeAPI;detach_volume;return cctxt.call(ctxt, 'detach_volume', **msg_args);216
Test_63;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/rpcapi.py;VolumeAPI;attach_volume;return cctxt.call(ctxt, 'attach_volume', **msg_args);207
Test_64;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/utils.py;None;_usage_from_volume;return usage_info;101
Test_65;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/manager.py;VolumeManager;attach_volume;return attachment;1232
Test_66;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/drivers/lvm.py;LVMVolumeDriver;get_volume_stats;return self._stats;582
Test_67;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/api.py;API;update_volume_admin_metadata;return db_meta;1186
Test_68;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/api.py;API;get_list_volumes_image_metadata;return results;1259
Test_69;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/flows/api/create_volume.py;ExtractVolumeRequestTask;_get_volume_type_id;return volume_type.get('id');421
Test_70;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/flows/api/create_volume.py;ExtractVolumeRequestTask;_extract_source_volume;return self._extract_resource(source_volume, (SRC_VOL_PROCEED_STATUS,), exception.InvalidVolume, 'source volume');136
Test_71;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_attached;return IMPL.volume_attached(context, volume_id, instance_id, host_name, mountpoint, attach_mode);228
Test_72;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_admin_metadata_update;return IMPL.volume_admin_metadata_update(context, volume_id, metadata, delete, add, update);562
Test_73;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_glance_metadata_delete_by_volume;return IMPL.volume_glance_metadata_delete_by_volume(context, volume_id);991
Test_74;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_type_get_by_name;return IMPL.volume_type_get_by_name(context, name);626
Test_75;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_type_encryption_get;return IMPL.volume_type_encryption_get(context, volume_type_id, session);840
Test_76;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_type_qos_specs_get;return IMPL.volume_type_qos_specs_get(context, type_id);659
Test_77;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_detached;return IMPL.volume_detached(context, volume_id, attachment_id);256
Test_78;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_glance_metadata_get;return IMPL.volume_glance_metadata_get(context, volume_id);955
Test_79;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_type_get_all;return IMPL.volume_type_get_all(context, inactive, filters, marker=marker, limit=limit, sort_keys=sort_keys, sort_dirs=sort_dirs, offset=offset, list_result=list_result);605
Test_80;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_create;return IMPL.volume_create(context, values);234
Test_81;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/db/api.py;None;volume_get;return IMPL.volume_get(context, volume_id);261
