Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_126;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_network_delete_after_delete_handler;self.mechanism_manager.delete_network_postcommit(context._mech_context);1005
Test_127;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_after_create_network;self.mechanism_manager.create_network_postcommit(mech_context);841
Test_128;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_network_delete_after_delete_handler;self.notifier.network_delete(context, network['id']);1013
Test_129;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_handle_segment_change;self.type_manager.release_network_segment(context, segment);1888
Test_130;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_create_subnet_db;self.type_manager.extend_network_dict_provider(context, network);1033
Test_131;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_notify_mechanism_driver_for_segment_change;self.mechanism_manager.update_network_postcommit(mech_context);1916
Test_132;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/api/rpc/handlers/dhcp_rpc.py;DhcpRpcCallback;_get_active_networks;plugin.auto_schedule_networks(context, host);86
Test_133;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;SinkHole;process_deleted_ports;self._clean_network_ports(port_id);454
Test_134;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;SinkHole;treat_devices_added_or_updated;self._update_port_network(details['port_id'], details['network_id']);1569
Test_135;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;SinkHole;_update_port_network;self._clean_network_ports(port_id);1582
Test_136;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/plugins/ml2/extensions/port_security.py;PortSecurityExtensionDriver;process_create_network;self._process_network_port_security_create(context, data, result);44
Test_137;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/api/v2/base.py;Controller;_create;self._validate_network_tenant_ownership(request, item[self._resource]);460
Test_138;OPENSTACK_WRONG_PARAMETERS-NETWORK;/neutron/agent/dhcp/agent.py;DhcpAgent;enable_dhcp_helper;self.configure_dhcp_for_network(network);277
